64624,251140,23454,13371,8985,7269,2685,1383,0
1338927,60916,37034,9713,14297,29976,4030,2080,0
174505,141057,38320,13421,4845,5410,3390,689,0
1295095,65107,9706,3830,12518,8488,5858,1567,0
77410,10556,3149,10722,3617,8341,1960,1592,0
159361,230695,6705,13173,13811,8053,6228,979,0
326220,122351,20186,19641,13592,10248,8080,1943,0
427705,146955,3155,26832,7331,9120,3255,1110,0
491702,82455,7569,7443,20184,11625,7545,3260,0
298450,19834,9357,2332,2354,1269,424,296,0
162566,159407,18525,6006,5614,10444,4949,4441,0
271501,189335,5395,8500,16402,5962,3928,3963,0
692401,62683,3292,10406,9426,7495,2158,2533,0
82671,10876,4938,17746,8582,8704,3902,3241,0
1443704,82292,42148,13436,20811,8560,5643,1380,0
206494,167877,9601,12332,19410,5698,8291,3300,0
360417,119868,32635,19472,10862,6463,2459,1347,0
63567,51677,4370,1170,5662,1436,1440,1697,0
244418,229798,8697,6519,9947,4580,5122,2961,0
1168571,95304,3259,11458,7896,8238,5702,1514,0
659943,107773,45819,9485,27717,9726,5711,4329,0
459037,305857,16671,4920,5542,4680,8214,3548,0
47064,148526,3300,4604,7282,3570,2713,1816,0
63535,44897,8180,7548,6266,9461,5032,1035,0
289304,74636,29121,6252,5720,7225,5313,2238,0
102940,98230,22770,10917,15403,14114,6160,4415,0
262079,102665,14133,8762,2889,7576,3737,2076,0
485628,96719,15216,20294,6946,5424,4800,2316,0
254108,33001,5673,2579,24117,4760,7872,2855,0
64200,24922,13816,5347,9990,9217,6783,2491,0
24052,83822,3387,16608,7317,8857,4674,5060,0
832378,47913,13415,18377,28345,9360,7893,5625,0
61621,117232,19297,4658,25641,7526,7168,2025,0
293381,49161,9275,16156,14412,11778,2859,2926,0
221278,85214,53974,16879,36320,16639,5375,2365,0
150985,30145,15879,9760,12551,4577,2391,4388,0
156240,112450,22381,14789,15219,9734,4764,1750,0
222166,124242,11926,20988,18949,16408,3686,1128,0
250928,26445,14408,5486,6405,8445,3535,1373,0
79692,76915,10287,17518,4121,8282,4274,1706,0
274859,65816,14810,4164,11091,6797,7341,2814,0
615273,48048,35381,10201,4584,9069,3949,825,0
257357,115708,3094,4352,19598,13458,3897,2579,0
206384,50052,10147,14659,4216,7182,9467,1206,0
53865,35117,7763,3566,4090,10846,2937,4651,0
542012,175991,3424,9468,6431,10906,7380,1992,0
402162,102067,8264,12936,14598,9395,5796,3835,0
237260,207640,2478,6349,8906,5298,2342,3151,0
355685,45169,11995,12490,9542,10041,11117,2069,0
223301,316398,17258,15611,12994,10068,8611,2091,0
163580,606745,22359,9462,25495,9308,7509,3359,0
180780,247885,41307,15145,12395,28506,4344,3230,0
474557,66955,29825,4698,14525,10121,3961,3372,0
113637,16370,8100,3768,2216,715,880,884,0
138888,16470,4367,3734,2378,2719,1190,459,0
183673,39363,6072,9947,3588,7611,3896,4841,0
377445,187741,20047,3327,19090,10230,6574,2152,0
115932,194835,13087,8842,10086,11541,7669,3032,0
204487,39166,1855,6865,10796,4785,3016,1357,0
176062,70769,3839,6360,12853,13154,6942,2454,0
64770,30029,42471,7387,6090,5476,2411,2428,0
103338,47903,10230,10437,8324,5924,4536,1547,0
154305,25507,9568,7877,6671,4390,5394,1992,0
286237,77540,27049,3586,6353,5068,4527,1116,0
1006221,168053,18652,6237,5743,8840,5125,955,0
335864,95142,10859,11514,41259,8836,4626,3187,0
134037,77108,7173,15123,13500,4021,3714,1957,0
92726,95096,5114,23840,10716,5298,7861,2569,0
294640,35253,10037,2191,12960,17703,7920,3376,0
240850,19226,17110,2671,10696,9053,6811,787,0
103333,32349,6294,11797,9593,5184,6401,6420,0
174542,19416,3800,2933,9713,8416,4705,1039,0
76413,18447,1069,9831,11545,5331,7897,1881,0
741699,251579,9493,3545,5813,7181,7086,3620,0
382811,81460,2949,8079,10188,6983,6110,1687,0
80665,16951,2243,2061,1400,1433,1304,421,0
212256,77085,20150,5225,7989,7822,4446,1903,0
210596,46685,7965,10991,7897,9445,2785,2364,0
327518,41528,7093,8076,7400,6438,3985,4549,0
121233,46915,6177,8777,10169,6980,2410,2169,0
62159,36608,12115,19778,6901,4412,6776,3397,0
328364,19641,6128,2125,6788,7794,6822,2518,0
144942,135457,7336,9850,7096,5682,2822,705,0
130880,134901,1468,16050,10090,7953,1914,1795,0
204439,78008,8760,8150,8474,6199,8529,2788,0
122780,282669,17864,3518,4527,12740,3760,1252,0
257163,42069,4440,16512,7457,5092,3758,1282,0
404499,39402,14659,10559,3071,5890,4543,1474,0
161154,87300,25153,4274,3944,7996,5799,2143,0
688993,80758,32747,15156,13555,4982,6175,1628,0
222108,23472,18572,9036,9757,7463,5299,1708,0
13023,86788,4653,5335,8074,6468,5167,1558,0
275527,30695,39963,10160,9964,5119,3982,3264,0
728355,75857,7356,5570,8791,9789,7375,1789,0
104604,48608,4782,1415,1078,1812,2270,1007,0
535851,50485,2368,9582,8506,7723,9062,2878,0
109704,90541,6915,7692,15848,8112,5026,3175,0
82412,77947,38504,24609,21478,15864,3806,978,0
337065,117288,2794,17657,8830,5661,3822,786,0
251775,31608,25245,8875,10045,15029,14090,2629,0
